Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
129,Swingup,17999.82,0.00,-0.93,0.00,0.002948,0.00
130,Swingup,17999.82,0.00,-0.93,0.00,0.003216,0.00
131,Swingup,17999.82,0.00,-0.93,0.00,0.003264,0.00
132,Swingup,17999.82,0.00,-0.93,0.00,0.003242,0.00
133,Swingup,17999.82,0.00,-0.93,0.00,0.002943,0.00
134,Swingup,17999.82,0.00,-0.93,0.00,0.003185,0.00
135,Swingup,17999.82,0.00,-0.93,0.00,0.003174,0.00
136,Swingup,17999.82,0.00,-0.93,0.00,0.003567,0.00
137,Swingup,17999.82,0.00,-0.93,0.00,0.002614,0.00
138,Swingup,17999.82,0.00,-0.93,0.00,0.002898,0.00
139,Swingup,17999.82,0.00,-0.93,0.00,0.003018,0.00
140,Swingup,17999.82,0.00,-0.93,0.00,0.003336,0.00
141,Swingup,17999.82,0.00,-0.93,0.00,0.003667,0.00
142,Swingup,17999.82,0.00,-0.93,0.00,0.002716,0.00
143,Swingup,17999.82,0.00,-0.93,0.00,0.003010,0.00
144,Swingup,17999.82,0.00,-0.93,0.00,0.002833,0.00
145,Swingup,17999.82,0.00,-0.93,0.00,0.003104,0.00
146,Swingup,17999.82,0.00,-0.93,0.00,0.002539,0.00
147,Swingup,17999.82,0.00,-0.93,0.00,0.003865,0.00
148,Swingup,17999.82,0.00,-0.93,0.00,0.002408,0.00
149,Swingup,17999.82,0.00,-0.93,0.00,0.002929,0.00
150,Swingup,17999.82,0.00,-0.93,0.00,0.002809,0.00
151,Swingup,17999.82,0.00,-0.93,0.00,0.002498,0.00
152,Swingup,17999.82,0.00,-0.93,0.00,0.003253,0.00
153,Swingup,17999.82,0.00,-0.93,0.00,0.002679,0.00
154,Swingup,17999.82,0.00,-0.93,0.00,0.003198,0.00
155,Swingup,17999.82,0.00,-0.93,0.00,0.002909,0.00
156,Swingup,17999.82,0.00,-0.93,0.00,0.002712,0.00
157,Swingup,17999.82,0.00,-0.93,0.00,0.002886,0.00
158,Swingup,17999.82,0.00,-0.93,0.00,0.002909,0.00
159,Swingup,17999.82,0.00,-0.93,0.00,0.003127,0.00
160,Swingup,17999.82,0.00,-0.93,0.00,0.003295,0.00
161,Swingup,17999.82,0.00,-0.93,0.00,0.002749,0.00
162,Swingup,17999.82,0.00,-0.93,0.00,0.003012,0.00
